Source,Target,Type,Id,Label,timeset,Weight
172,1,Directed,0,,,1
47,1,Directed,1,,,1
177,1,Directed,2,,,1
69,2,Directed,3,,,1
128,2,Directed,4,,,1
130,4,Directed,5,,,2
27,8,Directed,6,,,3
80,8,Directed,7,,,3
39,8,Directed,8,,,5
28,8,Directed,9,,,6
72,11,Directed,10,,,3
114,11,Directed,11,,,1
38,11,Directed,12,,,2
84,11,Directed,13,,,2
14,11,Directed,14,,,1
149,11,Directed,15,,,1
26,11,Directed,16,,,4
120,11,Directed,17,,,2
111,11,Directed,18,,,2
174,11,Directed,19,,,2
108,11,Directed,20,,,1
139,11,Directed,21,,,1
194,11,Directed,22,,,1
153,11,Directed,23,,,2
141,11,Directed,24,,,1
71,11,Directed,25,,,1
17,11,Directed,26,,,1
25,11,Directed,27,,,1
167,11,Directed,28,,,1
55,11,Directed,29,,,3
43,11,Directed,30,,,1
152,11,Directed,31,,,1
59,11,Directed,32,,,1
42,11,Directed,33,,,2
86,11,Directed,34,,,5
147,11,Directed,35,,,2
92,11,Directed,36,,,1
45,11,Directed,37,,,1
103,11,Directed,38,,,1
2,15,Directed,39,,,4
32,15,Directed,40,,,4
102,15,Directed,41,,,4
82,15,Directed,42,,,4
88,15,Directed,43,,,4
53,15,Directed,44,,,2
12,15,Directed,45,,,4
163,15,Directed,46,,,4
192,15,Directed,47,,,4
115,15,Directed,48,,,4
10,15,Directed,49,,,4
187,15,Directed,50,,,4
76,15,Directed,51,,,4
69,15,Directed,52,,,4
118,15,Directed,53,,,4
171,15,Directed,54,,,3
35,15,Directed,55,,,4
18,15,Directed,56,,,4
136,15,Directed,57,,,4
29,15,Directed,58,,,4
70,18,Directed,59,,,1
110,18,Directed,60,,,1
29,18,Directed,61,,,1
76,18,Directed,62,,,1
136,18,Directed,63,,,1
148,18,Directed,64,,,1
125,18,Directed,65,,,1
77,18,Directed,66,,,1
35,18,Directed,67,,,1
185,18,Directed,68,,,1
82,18,Directed,69,,,1
171,18,Directed,70,,,1
10,18,Directed,71,,,1
128,18,Directed,72,,,1
118,18,Directed,73,,,1
192,18,Directed,74,,,1
187,18,Directed,75,,,1
53,18,Directed,76,,,1
149,19,Directed,77,,,1
81,21,Directed,78,,,1
72,26,Directed,79,,,1
8,27,Directed,80,,,1
28,27,Directed,81,,,1
27,28,Directed,82,,,3
8,28,Directed,83,,,7
10,29,Directed,84,,,2
102,29,Directed,85,,,2
6,31,Directed,86,,,1
150,31,Directed,87,,,2
1,33,Directed,88,,,1
37,33,Directed,89,,,1
74,33,Directed,90,,,1
175,33,Directed,91,,,1
64,33,Directed,92,,,1
188,33,Directed,93,,,1
113,36,Directed,94,,,1
54,36,Directed,95,,,1
177,37,Directed,96,,,1
47,37,Directed,97,,,1
188,37,Directed,98,,,1
64,37,Directed,99,,,1
175,37,Directed,100,,,1
56,37,Directed,101,,,1
99,37,Directed,102,,,1
74,37,Directed,103,,,1
30,37,Directed,104,,,1
172,37,Directed,105,,,2
133,37,Directed,106,,,1
20,37,Directed,107,,,1
34,38,Directed,108,,,1
151,38,Directed,109,,,2
46,38,Directed,110,,,1
55,38,Directed,111,,,1
72,38,Directed,112,,,1
131,38,Directed,113,,,2
114,38,Directed,114,,,1
27,39,Directed,115,,,1
28,39,Directed,116,,,1
8,39,Directed,117,,,3
112,40,Directed,118,,,4
130,40,Directed,119,,,4
4,40,Directed,120,,,5
30,47,Directed,121,,,1
64,47,Directed,122,,,1
99,47,Directed,123,,,1
33,47,Directed,124,,,1
85,47,Directed,125,,,1
74,47,Directed,126,,,1
177,50,Directed,127,,,1
64,50,Directed,128,,,1
54,50,Directed,129,,,1
61,50,Directed,130,,,2
133,50,Directed,131,,,1
47,50,Directed,132,,,2
56,50,Directed,133,,,1
74,50,Directed,134,,,2
1,50,Directed,135,,,4
138,50,Directed,136,,,2
33,50,Directed,137,,,5
30,50,Directed,138,,,1
20,50,Directed,139,,,1
172,50,Directed,140,,,1
109,50,Directed,141,,,1
188,50,Directed,142,,,1
37,50,Directed,143,,,5
147,52,Directed,144,,,1
149,52,Directed,145,,,1
38,52,Directed,146,,,2
61,53,Directed,147,,,1
10,53,Directed,148,,,1
73,53,Directed,149,,,1
69,53,Directed,150,,,1
192,53,Directed,151,,,1
136,53,Directed,152,,,1
76,53,Directed,153,,,1
82,53,Directed,154,,,1
39,53,Directed,155,,,1
149,53,Directed,156,,,1
36,54,Directed,157,,,1
17,55,Directed,158,,,1
160,55,Directed,159,,,1
26,55,Directed,160,,,1
72,55,Directed,161,,,3
167,55,Directed,162,,,1
147,55,Directed,163,,,1
59,55,Directed,164,,,1
196,57,Directed,165,,,2
155,58,Directed,166,,,3
179,58,Directed,167,,,3
173,58,Directed,168,,,3
160,59,Directed,169,,,1
55,59,Directed,170,,,1
86,59,Directed,171,,,1
131,59,Directed,172,,,1
38,59,Directed,173,,,1
6,59,Directed,174,,,2
75,67,Directed,175,,,1
5,67,Directed,176,,,1
81,67,Directed,177,,,1
123,67,Directed,178,,,1
167,67,Directed,179,,,1
117,67,Directed,180,,,1
87,67,Directed,181,,,1
17,67,Directed,182,,,1
108,67,Directed,183,,,1
116,67,Directed,184,,,1
127,67,Directed,185,,,1
22,67,Directed,186,,,1
66,67,Directed,187,,,1
49,67,Directed,188,,,1
24,67,Directed,189,,,1
119,67,Directed,190,,,1
13,67,Directed,191,,,1
68,67,Directed,192,,,1
154,67,Directed,193,,,1
86,67,Directed,194,,,1
140,67,Directed,195,,,1
189,67,Directed,196,,,1
141,67,Directed,197,,,1
144,67,Directed,198,,,1
142,67,Directed,199,,,1
146,67,Directed,200,,,1
3,67,Directed,201,,,1
180,67,Directed,202,,,1
100,67,Directed,203,,,1
101,67,Directed,204,,,1
79,67,Directed,205,,,1
52,67,Directed,206,,,1
84,67,Directed,207,,,1
122,67,Directed,208,,,1
131,67,Directed,209,,,1
60,67,Directed,210,,,1
170,67,Directed,211,,,1
104,67,Directed,212,,,1
152,67,Directed,213,,,1
132,67,Directed,214,,,1
157,67,Directed,215,,,1
31,67,Directed,216,,,1
143,67,Directed,217,,,1
63,67,Directed,218,,,1
197,67,Directed,219,,,1
55,67,Directed,220,,,1
97,67,Directed,221,,,1
159,67,Directed,222,,,1
93,67,Directed,223,,,1
34,67,Directed,224,,,1
72,67,Directed,225,,,1
44,67,Directed,226,,,1
11,67,Directed,227,,,1
48,67,Directed,228,,,1
149,67,Directed,229,,,1
78,67,Directed,230,,,1
41,67,Directed,231,,,1
21,67,Directed,232,,,1
126,67,Directed,233,,,1
92,67,Directed,234,,,1
151,67,Directed,235,,,1
184,67,Directed,236,,,1
195,67,Directed,237,,,1
65,67,Directed,238,,,1
124,67,Directed,239,,,1
164,67,Directed,240,,,1
23,67,Directed,241,,,1
194,67,Directed,242,,,1
153,67,Directed,243,,,1
9,67,Directed,244,,,1
161,67,Directed,245,,,1
183,67,Directed,246,,,1
51,67,Directed,247,,,1
106,67,Directed,248,,,1
135,67,Directed,249,,,1
107,67,Directed,250,,,1
14,67,Directed,251,,,1
38,67,Directed,252,,,1
89,67,Directed,253,,,1
114,67,Directed,254,,,1
186,67,Directed,255,,,1
45,67,Directed,256,,,1
165,67,Directed,257,,,1
196,67,Directed,258,,,1
46,67,Directed,259,,,1
147,67,Directed,260,,,1
162,67,Directed,261,,,1
111,67,Directed,262,,,1
71,67,Directed,263,,,1
6,67,Directed,264,,,1
26,67,Directed,265,,,1
94,67,Directed,266,,,1
7,67,Directed,267,,,1
160,67,Directed,268,,,1
169,67,Directed,269,,,1
105,67,Directed,270,,,1
158,67,Directed,271,,,1
166,67,Directed,272,,,1
182,67,Directed,273,,,1
134,67,Directed,274,,,1
139,67,Directed,275,,,1
83,67,Directed,276,,,1
176,67,Directed,277,,,1
43,67,Directed,278,,,1
178,67,Directed,279,,,1
190,67,Directed,280,,,1
19,67,Directed,281,,,1
174,67,Directed,282,,,1
16,67,Directed,283,,,1
120,67,Directed,284,,,1
91,67,Directed,285,,,1
59,67,Directed,286,,,1
96,67,Directed,287,,,1
121,67,Directed,288,,,1
98,67,Directed,289,,,1
145,67,Directed,290,,,1
73,67,Directed,291,,,1
57,67,Directed,292,,,1
95,67,Directed,293,,,1
25,67,Directed,294,,,1
103,67,Directed,295,,,1
90,67,Directed,296,,,1
168,67,Directed,297,,,1
156,67,Directed,298,,,1
150,67,Directed,299,,,1
137,67,Directed,300,,,1
199,67,Directed,301,,,1
191,67,Directed,302,,,1
198,67,Directed,303,,,1
10,69,Directed,304,,,1
22,72,Directed,305,,,1
20,74,Directed,306,,,1
69,76,Directed,307,,,1
192,76,Directed,308,,,1
8,80,Directed,309,,,2
27,80,Directed,310,,,5
39,80,Directed,311,,,2
28,80,Directed,312,,,4
21,81,Directed,313,,,1
160,86,Directed,314,,,1
59,86,Directed,315,,,1
132,89,Directed,316,,,1
42,89,Directed,317,,,1
157,89,Directed,318,,,1
13,89,Directed,319,,,1
199,89,Directed,320,,,1
19,89,Directed,321,,,1
162,97,Directed,322,,,1
176,97,Directed,323,,,1
87,97,Directed,324,,,1
149,97,Directed,325,,,1
157,97,Directed,326,,,1
127,97,Directed,327,,,1
55,97,Directed,328,,,1
62,97,Directed,329,,,1
59,97,Directed,330,,,1
73,97,Directed,331,,,2
104,97,Directed,332,,,1
186,97,Directed,333,,,3
72,97,Directed,334,,,1
114,97,Directed,335,,,2
25,97,Directed,336,,,1
19,97,Directed,337,,,1
124,97,Directed,338,,,4
50,99,Directed,339,,,1
114,100,Directed,340,,,1
187,102,Directed,341,,,12
