Source,Target,Type,Id,Label,timeset,Weight
82,3,Directed,0,,,1
53,3,Directed,1,,,2
20,3,Directed,2,,,3
70,3,Directed,3,,,12
41,3,Directed,4,,,1
89,3,Directed,5,,,1
65,3,Directed,6,,,2
54,3,Directed,7,,,1
88,3,Directed,8,,,1
78,3,Directed,9,,,1
102,3,Directed,10,,,1
20,4,Directed,11,,,1
2,4,Directed,12,,,1
82,5,Directed,13,,,1
53,5,Directed,14,,,1
108,5,Directed,15,,,1
35,5,Directed,16,,,1
20,6,Directed,17,,,1
104,6,Directed,18,,,1
2,6,Directed,19,,,1
82,6,Directed,20,,,1
53,6,Directed,21,,,1
28,6,Directed,22,,,1
108,6,Directed,23,,,1
4,6,Directed,24,,,1
69,6,Directed,25,,,1
35,6,Directed,26,,,2
14,6,Directed,27,,,1
60,6,Directed,28,,,1
1,7,Directed,29,,,2
35,7,Directed,30,,,3
23,7,Directed,31,,,1
26,7,Directed,32,,,2
38,7,Directed,33,,,3
29,7,Directed,34,,,3
86,7,Directed,35,,,2
58,7,Directed,36,,,1
73,7,Directed,37,,,1
74,7,Directed,38,,,2
89,7,Directed,39,,,1
5,7,Directed,40,,,1
61,7,Directed,41,,,1
92,7,Directed,42,,,4
60,7,Directed,43,,,2
45,7,Directed,44,,,2
51,7,Directed,45,,,1
79,7,Directed,46,,,1
48,7,Directed,47,,,5
25,7,Directed,48,,,1
68,7,Directed,49,,,3
41,7,Directed,50,,,4
42,7,Directed,51,,,2
2,7,Directed,52,,,1
37,7,Directed,53,,,1
52,7,Directed,54,,,3
55,7,Directed,55,,,2
64,7,Directed,56,,,1
95,7,Directed,57,,,1
63,7,Directed,58,,,4
69,7,Directed,59,,,4
88,7,Directed,60,,,2
98,7,Directed,61,,,2
31,7,Directed,62,,,3
96,7,Directed,63,,,1
82,7,Directed,64,,,1
11,7,Directed,65,,,4
108,7,Directed,66,,,1
22,7,Directed,67,,,4
103,7,Directed,68,,,2
81,7,Directed,69,,,5
4,7,Directed,70,,,2
10,7,Directed,71,,,1
109,7,Directed,72,,,3
44,7,Directed,73,,,1
90,7,Directed,74,,,1
53,7,Directed,75,,,1
71,7,Directed,76,,,1
20,7,Directed,77,,,2
99,7,Directed,78,,,2
3,7,Directed,79,,,1
47,7,Directed,80,,,1
101,7,Directed,81,,,2
